name,category,length,color
blue t shirt,top,short,blue
white long sleeve,top,long,white
black tank,top,short,black
gray sweater,top,long,gray
black shorts,bottom,short,black
blue jeans,bottom,long,blue
white skirt,bottom,short,white
brown trousers,bottom,long,brown
black coat,coat,long,black
beige jacket,coat,short,beige
red blouse,top,short,red
pink coat,coat,long,pink
yellow tube top,top,short,yellow
white sneakers,shoes,short,white
black boots,shoes,long,black
brown loafers,shoes,long,brown
gold necklace,accessory,short,gold
blue scarf,accessory,long,blue
black hat,accessory,short,black
